ID,Lat,Lon
01,-75.82,56.78
02,-75.93,57.43
03,-76.25,58.64
04,-76.81,62.59
05,-77.56,65.19
06,-78.44,70.08
07,-80.24,81.40
08,-81.08,83.31
09,-81.98,88.83
10,-83.08,98.01
11,-83.07,104.90
12,-83.20,116.30
13,-82.85,128.22
14,-82.55,135.22
15,-82.17,146.37
16,-81.29,155.01
17,-80.62,161.11
18,-79.04,173.53
19,-77.51,176.84
20,-76.72,178.43
21,-76.17,183.83
22,-72.59,180.39
23,-72.81,199.92
24,-71.51,201.00
25,-75.30,33.31
26,-75.59,32.75
27,-77.18,30.20
28,-77.95,30.64
29,-78.76,31.73
30,-79.18,29.44
31,-80.38,29.65
32,-81.16,25.96
33,-82.83,22.04
34,-84.42,17.36
35,-84.40,16.76
36,-85.15,11.87
37,-86.19,11.50
38,-86.98,6.89
39,-88.25,358.17
40,-88.72,339.63
41,-89.21,322.42
42,-88.80,272.23
43,-87.85,239.35
44,-86.14,232.38
45,-84.00,228.81
46,-82.98,226.93
47,-80.76,230.20
48,-79.02,228.28
49,-77.64,228.12
50,-75.69,229.58
51,-72.45,227.42
52,-71.42,224.77
53,-70.92,225.61
54,-77.70,16.09
55,-78.54,18.00
56,-79.52,13.81
57,-80.46,13.78
58,-81.72,14.73
59,-82.69,15.80
60,-76.11,348.33
61,-76.56,343.99
62,-77.50,339.72
63,-77.96,336.33
64,-77.94,332.02
65,-78.88,327.56
66,-78.56,323.82
67,-78.82,321.01
68,-79.69,314.97
69,-79.86,310.73
70,-80.25,304.77
71,-80.31,302.85
72,-79.90,294.38
73,-80.32,291.57
74,-80.49,283.19
75,-79.97,277.06
76,-79.82,272.63
77,-77.95,263.80
78,-76.99,260.62
79,-76.39,255.44
80,-75.14,251.73
81,-73.14,249.07
82,-72.43,246.77
83,-71.97,337.85
84,-72.87,337.20
85,-73.60,336.59
86,-74.64,336.34
87,-75.55,333.09
88,-76.55,329.33
89,-75.07,116.16
90,-74.56,153.20
91,-73.17,156.72
92,-70.56,164.46
93,-69.58,165.51
