Operation,Initial Mass,Final Mass
Descent,108205.60185296957,64986.205982186606
Hop 1,64986.205982186606,54829.16879101745
Hop 2,54829.16879101745,46259.62856083525
Hop 3,46259.62856083525,39029.467011307825
Hop 4,39029.467011307825,32929.345577937376
Hop 5,32929.345577937376,27782.644325556957
Hop 6,27782.644325556957,23440.34818103272
Hop 7,23440.34818103272,19776.73242365238
Hop 8,19776.73242365238,16685.722512996883
Hop 9,16685.722512996883,14077.822858530311
Hop 10,14077.822858530311,11877.525608003354
Hop 11,11877.525608003354,10021.124429996087
Hop 12,10021.124429996087,8454.869991928039
Hop 13,8454.869991928039,7133.413728147187
Hop 14,7133.413728147187,6018.49483971957
Hop 15,6018.49483971957,5077.832509953039
Hop 16,5077.832509953039,4284.19126140472
Hop 17,4284.19126140472,3614.592393175707
Hop 18,3614.592393175707,3049.648666833745
Hop 19,3049.648666833745,2573.0029777852037
Hop 20,2573.0029777852037,2170.8547596615463
Ascent,2170.8547596615463,1100.0
